日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,002251,42.92,43.69,44.37,42.72,50774,43559369.0,3.84,1.7,0.73,0.59
2021-01-05,002251,43.77,43.57,43.89,43.21,46719,40116018.0,1.56,-0.27,-0.12,0.54
2021-01-06,002251,43.37,43.73,44.57,43.25,59169,51270331.0,3.03,0.37,0.16,0.68
2021-01-07,002251,43.49,42.2,43.89,41.76,57356,47853840.0,4.87,-3.5,-1.53,0.66
2021-01-08,002251,42.08,42.12,42.72,41.52,50729,41757897.0,2.84,-0.19,-0.08,0.59
2021-01-11,002251,42.0,40.39,42.24,40.35,81331,64880712.0,4.49,-4.11,-1.73,0.94
2021-01-12,002251,40.43,41.6,42.72,40.39,89785,73054305.0,5.77,3.0,1.21,1.04
2021-01-13,002251,41.56,41.76,42.08,40.79,57926,46785718.0,3.1,0.38,0.16,0.67
2021-01-14,002251,41.56,42.04,42.44,41.32,44829,36660626.0,2.68,0.67,0.28,0.52
2021-01-15,002251,42.04,42.16,42.6,41.88,35691,29510771.0,1.71,0.29,0.12,0.41
2021-01-18,002251,42.16,41.84,42.36,41.64,41137,33647156.0,1.71,-0.76,-0.32,0.48
2021-01-19,002251,41.6,43.13,43.37,41.16,87171,72925307.0,5.28,3.08,1.29,1.01
2021-01-20,002251,43.17,42.08,43.21,41.92,62802,52086529.0,2.99,-2.43,-1.05,0.73
2021-01-21,002251,42.0,41.96,42.64,41.64,46165,38041723.0,2.38,-0.29,-0.12,0.53
2021-01-22,002251,41.84,41.6,41.96,41.44,32137,26046718.0,1.24,-0.86,-0.36,0.37
2021-01-25,002251,41.44,40.47,41.56,40.43,62360,49212187.0,2.72,-2.72,-1.13,0.72
2021-01-26,002251,40.51,40.03,41.24,40.03,40053,31369721.0,2.99,-1.09,-0.44,0.46
2021-01-27,002251,39.91,40.19,40.59,39.67,35816,27735111.0,2.3,0.4,0.16,0.41
2021-01-28,002251,40.11,40.23,40.59,39.87,23566,18350967.0,1.79,0.1,0.04,0.27
2021-01-29,002251,40.39,39.87,40.55,39.51,38420,29549244.0,2.59,-0.89,-0.36,0.44
2021-02-01,002251,39.63,40.07,40.27,39.59,21701,16753977.0,1.71,0.5,0.2,0.25
2021-02-02,002251,39.95,40.31,40.55,39.63,34056,26399876.0,2.3,0.6,0.24,0.39
2021-02-03,002251,40.27,39.47,40.39,39.31,33891,25827664.0,2.68,-2.08,-0.84,0.39
2021-02-04,002251,39.47,38.26,39.47,37.82,44576,32655828.0,4.18,-3.07,-1.21,0.52
2021-02-05,002251,38.26,37.78,38.82,37.58,46437,33513322.0,3.24,-1.25,-0.48,0.54
2021-02-08,002251,37.86,37.82,38.46,37.58,55974,40210807.0,2.33,0.11,0.04,0.65
2021-02-09,002251,38.7,40.71,40.71,38.22,97711,74088601.0,6.58,7.64,2.89,1.13
2021-02-10,002251,41.84,40.15,42.0,39.75,137107,107865549.0,5.53,-1.38,-0.56,1.59
2021-02-18,002251,40.19,40.31,40.75,40.19,91811,71626602.0,1.39,0.4,0.16,1.06
2021-02-19,002251,40.39,41.08,41.48,40.19,98566,78065588.0,3.2,1.91,0.77,1.14
2021-02-22,002251,41.8,41.8,42.72,41.56,133912,110589038.0,2.82,1.75,0.72,1.55
2021-02-23,002251,41.8,41.44,42.36,41.24,85247,69278184.0,2.68,-0.86,-0.36,0.99
2021-02-24,002251,41.32,41.48,41.92,41.16,57260,46341845.0,1.83,0.1,0.04,0.66
2021-02-25,002251,41.68,41.08,41.68,41.08,49921,40118122.0,1.45,-0.96,-0.4,0.58
2021-02-26,002251,40.71,40.79,41.24,40.63,38275,30347605.0,1.48,-0.71,-0.29,0.44
2021-03-01,002251,41.08,41.24,41.24,40.79,42687,33980862.0,1.1,1.1,0.45,0.49
2021-03-02,002251,41.36,41.08,41.4,40.87,35203,28112735.0,1.29,-0.39,-0.16,0.41
2021-03-03,002251,41.08,41.48,41.56,40.91,44624,35797826.0,1.58,0.97,0.4,0.52
2021-03-04,002251,41.48,41.2,41.64,41.04,44111,35470277.0,1.45,-0.68,-0.28,0.51
2021-03-05,002251,40.99,41.24,41.44,40.95,33394,26799613.0,1.19,0.1,0.04,0.39
2021-03-08,002251,42.36,40.95,42.36,40.91,56523,45555282.0,3.52,-0.7,-0.29,0.65
2021-03-09,002251,40.75,40.47,41.4,39.55,60750,47558782.0,4.52,-1.17,-0.48,0.7
2021-03-10,002251,40.71,40.67,41.04,40.03,43752,34404310.0,2.5,0.49,0.2,0.51
2021-03-11,002251,40.95,40.71,40.95,40.35,35486,27943317.0,1.48,0.1,0.04,0.41
2021-03-12,002251,40.71,40.59,40.79,40.43,27882,21938781.0,0.88,-0.29,-0.12,0.32
2021-03-15,002251,40.59,41.16,41.24,40.51,66719,52916018.0,1.8,1.4,0.57,0.77
2021-03-16,002251,41.36,41.16,41.6,40.99,48307,38778612.0,1.48,0.0,0.0,0.56
2021-03-17,002251,41.16,41.24,41.4,40.99,37056,29685309.0,1.0,0.19,0.08,0.43
2021-03-18,002251,41.24,41.36,41.56,41.2,39049,31432777.0,0.87,0.29,0.12,0.45
2021-03-19,002251,41.24,41.24,41.56,40.95,32258,25866544.0,1.47,-0.29,-0.12,0.37
2021-03-22,002251,41.12,41.28,41.32,40.91,30876,24706712.0,0.99,0.1,0.04,0.36
2021-03-23,002251,41.2,41.44,41.52,40.91,46468,37279068.0,1.48,0.39,0.16,0.54
2021-03-24,002251,41.32,41.88,42.4,41.24,109931,89761831.0,2.8,1.06,0.44,1.27
2021-03-25,002251,41.92,41.92,42.12,41.56,45281,37008236.0,1.34,0.1,0.04,0.52
2021-03-26,002251,41.92,42.32,42.4,41.72,71731,59207344.0,1.62,0.95,0.4,0.83
2021-03-29,002251,42.36,41.68,42.76,41.52,69795,57291284.0,2.93,-1.51,-0.64,0.81
2021-03-30,002251,41.64,41.6,42.12,41.32,35205,28502805.0,1.92,-0.19,-0.08,0.41
2021-03-31,002251,41.52,41.56,41.68,41.24,23525,18980519.0,1.06,-0.1,-0.04,0.27
2021-04-01,002251,41.76,41.36,41.96,41.28,28677,23145723.0,1.64,-0.48,-0.2,0.33
2021-04-02,002251,41.16,40.39,41.28,40.35,66929,52792236.0,2.25,-2.35,-0.97,0.77
2021-04-06,002251,40.43,40.59,40.75,40.19,29874,23423257.0,1.39,0.5,0.2,0.35
2021-04-07,002251,40.83,40.67,40.91,40.47,20607,16180056.0,1.08,0.2,0.08,0.24
2021-04-08,002251,40.67,40.19,40.67,40.19,28773,22424593.0,1.18,-1.18,-0.48,0.33
2021-04-09,002251,40.19,40.27,40.43,40.07,18545,14410553.0,0.9,0.2,0.08,0.21
2021-04-12,002251,40.23,39.99,40.47,39.95,25957,20103096.0,1.29,-0.7,-0.28,0.3
2021-04-13,002251,39.99,39.23,40.07,39.02,34677,26279385.0,2.63,-1.9,-0.76,0.4
2021-04-14,002251,39.31,39.99,40.39,39.07,48827,37369773.0,3.36,1.94,0.76,0.57
2021-04-15,002251,39.79,39.75,40.07,39.47,28167,21560415.0,1.5,-0.6,-0.24,0.33
2021-04-16,002251,39.71,40.31,40.47,39.55,44139,34149898.0,2.31,1.41,0.56,0.51
2021-04-19,002251,40.35,40.23,40.59,40.15,52104,40609719.0,1.09,-0.2,-0.08,0.6
2021-04-20,002251,40.19,39.99,40.27,39.95,25623,19861134.0,0.8,-0.6,-0.24,0.3
2021-04-21,002251,40.03,39.55,40.07,39.35,39002,29746652.0,1.8,-1.1,-0.44,0.45
2021-04-22,002251,39.51,39.27,39.59,39.19,30374,22930719.0,1.01,-0.71,-0.28,0.35
2021-04-23,002251,39.31,38.7,39.31,38.58,34275,25429187.0,1.86,-1.45,-0.57,0.4
2021-04-26,002251,38.7,38.82,38.94,38.38,20995,15544665.0,1.45,0.31,0.12,0.24
2021-04-27,002251,38.7,38.38,38.82,38.26,32000,23441563.0,1.44,-1.13,-0.44,0.37
2021-04-28,002251,38.34,38.7,38.86,38.34,21329,15712541.0,1.35,0.83,0.32,0.25
2021-04-29,002251,38.66,39.07,39.15,38.66,23294,17405751.0,1.27,0.96,0.37,0.27
2021-04-30,002251,39.07,39.47,39.63,39.07,35435,26768786.0,1.43,1.02,0.4,0.41
2021-05-06,002251,39.47,39.43,39.83,39.35,37392,28493501.0,1.22,-0.1,-0.04,0.43
2021-05-07,002251,39.43,39.35,40.87,39.27,76995,59072620.0,4.06,-0.2,-0.08,0.89
2021-05-10,002251,39.35,40.27,40.75,38.66,97917,75317532.0,5.31,2.34,0.92,1.13
2021-05-11,002251,40.03,39.63,40.23,39.35,74262,56614311.0,2.19,-1.59,-0.64,0.86
2021-05-12,002251,39.39,39.51,39.67,39.23,49813,37641836.0,1.11,-0.3,-0.12,0.58
2021-05-13,002251,39.23,39.43,39.87,39.07,52438,39820844.0,2.02,-0.2,-0.08,0.61
2021-05-14,002251,39.43,39.63,39.79,39.35,50294,38250338.0,1.12,0.51,0.2,0.58
2021-05-17,002251,39.87,39.31,39.91,39.15,49714,37546852.0,1.92,-0.81,-0.32,0.58
2021-05-18,002251,39.43,40.31,40.55,39.43,102342,78891535.0,2.85,2.54,1.0,1.18
2021-05-19,002251,39.87,40.07,40.47,39.79,79996,61916127.0,1.69,-0.6,-0.24,0.93
2021-05-20,002251,40.11,39.87,40.19,39.79,45790,35293601.0,1.0,-0.5,-0.2,0.53
