日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,300065,82.8,82.97,85.54,82.46,211133,305315632.0,3.69,-0.68,-0.57,6.4
2021-01-05,300065,81.55,81.38,83.26,79.67,185427,259927267.0,4.33,-1.92,-1.59,5.62
2021-01-06,300065,81.26,86.45,89.47,79.67,306484,451745728.0,12.04,6.23,5.07,9.28
2021-01-07,300065,86.39,87.65,90.73,83.71,264729,396862400.0,8.12,1.39,1.2,8.02
2021-01-08,300065,87.65,82.23,87.65,82.18,190609,275530848.0,6.24,-6.18,-5.42,5.77
2021-01-11,300065,83.43,82.92,88.16,82.06,178184,260694680.0,7.42,0.84,0.69,5.4
2021-01-12,300065,81.49,83.37,86.34,79.1,159558,229751323.0,8.73,0.54,0.45,4.83
2021-01-13,300065,81.89,78.98,82.8,77.79,206081,284286272.0,6.01,-5.27,-4.39,6.24
2021-01-14,300065,78.36,75.11,79.44,74.77,136568,179108299.0,5.91,-4.9,-3.87,4.14
2021-01-15,300065,75.45,76.02,77.84,75.05,89703,117669669.0,3.71,1.21,0.91,2.72
2021-01-18,300065,76.76,75.96,77.9,75.62,97233,127832567.0,3.0,-0.08,-0.06,2.95
2021-01-19,300065,75.62,75.11,76.36,74.48,87704,113350524.0,2.47,-1.12,-0.85,2.66
2021-01-20,300065,74.77,74.71,75.28,73.63,73338,93854555.0,2.2,-0.53,-0.4,2.22
2021-01-21,300065,74.48,74.94,76.42,74.48,95920,124360240.0,2.6,0.31,0.23,2.91
2021-01-22,300065,74.59,70.78,74.88,70.49,149603,185271181.0,5.86,-5.55,-4.16,4.53
2021-01-25,300065,71.12,69.12,72.71,68.67,95747,116319703.0,5.71,-2.35,-1.66,2.9
2021-01-26,300065,68.04,69.41,71.69,67.07,104462,123215204.0,6.68,0.42,0.29,3.16
2021-01-27,300065,68.67,65.99,69.07,65.53,93451,106799992.0,5.1,-4.93,-3.42,2.83
2021-01-28,300065,65.65,63.71,66.61,63.59,89300,99202408.0,4.58,-3.46,-2.28,2.7
2021-01-29,300065,63.88,61.6,65.19,60.57,76116,81612685.0,7.25,-3.31,-2.11,2.31
2021-02-01,300065,61.6,61.88,62.68,61.09,50907,53900322.0,2.58,0.45,0.28,1.54
2021-02-02,300065,61.94,61.71,62.45,60.8,51272,54147192.0,2.67,-0.27,-0.17,1.55
2021-02-03,300065,61.83,59.38,62.11,59.09,67778,69918265.0,4.89,-3.78,-2.33,2.05
2021-02-04,300065,60.4,60.74,62.34,59.2,76992,79840998.0,5.29,2.29,1.36,2.33
2021-02-05,300065,60.34,59.49,61.71,58.81,53151,54904959.0,4.77,-2.06,-1.25,1.61
2021-02-08,300065,58.41,57.38,59.43,56.24,63249,62748471.0,5.36,-3.55,-2.11,1.92
2021-02-09,300065,57.95,58.46,59.6,57.61,73302,73657158.0,3.47,1.88,1.08,2.22
2021-02-10,300065,58.18,56.92,58.98,56.81,70616,69368033.0,3.71,-2.63,-1.54,2.14
2021-02-18,300065,57.61,60.12,61.48,57.61,79493,81260511.0,6.8,5.62,3.2,2.41
2021-02-19,300065,60.46,62.74,63.25,59.66,80546,85506940.0,5.97,4.36,2.62,2.44
2021-02-22,300065,62.4,63.65,65.08,62.4,92533,101529016.0,4.27,1.45,0.91,2.8
2021-02-23,300065,63.54,64.56,65.7,61.77,90009,98787825.0,6.17,1.43,0.91,2.73
2021-02-24,300065,63.99,63.48,65.19,62.91,62657,68619873.0,3.53,-1.67,-1.08,1.9
2021-02-25,300065,63.14,62.85,65.08,62.62,67512,73778070.0,3.88,-0.99,-0.63,2.04
2021-02-26,300065,62.4,62.68,63.99,61.48,44280,47720101.0,3.99,-0.27,-0.17,1.34
2021-03-01,300065,62.74,63.88,64.33,62.74,48457,52862378.0,2.54,1.91,1.2,1.47
2021-03-02,300065,63.42,64.22,64.39,62.62,55771,60407825.0,2.77,0.53,0.34,1.69
2021-03-03,300065,64.22,63.76,64.22,63.14,44193,48084190.0,1.68,-0.72,-0.46,1.34
2021-03-04,300065,63.59,63.14,64.85,62.91,73891,80964736.0,3.04,-0.97,-0.62,2.24
2021-03-05,300065,62.34,64.11,64.33,61.94,68238,74197004.0,3.79,1.54,0.97,2.07
2021-03-08,300065,64.11,62.23,65.25,62.05,66675,72537806.0,4.99,-2.93,-1.88,2.02
2021-03-09,300065,62.05,59.26,62.45,57.95,67523,68983273.0,7.23,-4.77,-2.97,2.05
2021-03-10,300065,60.12,58.24,60.52,57.78,45386,45338904.0,4.62,-1.72,-1.02,1.38
2021-03-11,300065,57.95,62.68,63.59,57.38,90418,94520159.0,10.66,7.62,4.44,2.74
2021-03-12,300065,62.0,60.23,62.45,60.06,54880,57285912.0,3.81,-3.91,-2.45,1.67
2021-03-15,300065,60.69,59.89,61.6,59.49,38385,39525938.0,3.5,-0.56,-0.34,1.16
2021-03-16,300065,60.12,60.34,61.54,59.95,31533,32630624.0,2.65,0.75,0.45,0.96
2021-03-17,300065,60.17,61.83,62.68,60.0,59589,62681084.0,4.44,2.47,1.49,1.81
2021-03-18,300065,61.43,61.09,62.11,60.86,39163,41093715.0,2.02,-1.2,-0.74,1.19
2021-03-19,300065,60.4,62.23,63.99,60.34,97695,104462346.0,5.97,1.87,1.14,2.96
2021-03-22,300065,61.88,62.85,63.88,61.6,62909,67700956.0,3.66,1.0,0.62,1.91
2021-03-23,300065,62.51,61.6,63.02,61.09,47972,50778956.0,3.07,-1.99,-1.25,1.46
2021-03-24,300065,61.54,61.14,62.74,60.86,40603,42794395.0,3.05,-0.75,-0.46,1.23
2021-03-25,300065,60.86,60.97,61.6,60.74,29041,30399981.0,1.41,-0.28,-0.17,0.88
2021-03-26,300065,61.09,61.48,62.28,60.8,35472,37355835.0,2.43,0.84,0.51,1.08
2021-03-29,300065,61.54,63.08,63.42,61.54,61303,65777409.0,3.06,2.6,1.6,1.86
2021-03-30,300065,63.31,64.68,65.87,62.4,117818,130468605.0,5.5,2.54,1.6,3.57
2021-03-31,300065,63.54,62.51,63.65,62.05,76209,81729277.0,2.47,-3.35,-2.17,2.31
2021-04-01,300065,62.62,61.88,62.62,61.2,46680,49343301.0,2.27,-1.01,-0.63,1.42
2021-04-02,300065,61.88,61.83,62.34,61.37,32134,34027281.0,1.57,-0.08,-0.05,0.97
2021-04-06,300065,61.94,63.37,65.13,61.94,88834,96837504.0,5.16,2.49,1.54,2.7
2021-04-07,300065,63.25,65.59,68.04,62.85,169059,191053341.0,8.19,3.5,2.22,5.13
2021-04-08,300065,65.93,64.45,66.44,64.45,87753,98238165.0,3.03,-1.74,-1.14,2.66
2021-04-09,300065,64.45,66.16,67.3,64.33,117158,133372219.0,4.61,2.65,1.71,3.55
2021-04-12,300065,65.82,64.45,67.07,63.88,97036,108438187.0,4.82,-2.58,-1.71,2.94
2021-04-13,300065,64.11,62.91,64.33,62.51,52852,57065369.0,2.82,-2.39,-1.54,1.6
2021-04-14,300065,62.91,65.93,67.13,62.45,111767,125390572.0,7.44,4.8,3.02,3.39
2021-04-15,300065,65.19,65.76,66.67,64.56,76658,86231307.0,3.2,-0.26,-0.17,2.33
2021-04-16,300065,65.87,66.16,66.84,64.79,70838,79959870.0,3.12,0.61,0.4,2.15
2021-04-19,300065,66.22,66.96,67.41,65.76,90769,103492178.0,2.49,1.21,0.8,2.75
2021-04-20,300065,66.73,69.46,71.92,65.7,187945,221359841.0,9.29,3.73,2.5,5.7
2021-04-21,300065,68.67,71.29,72.66,68.32,176279,215745302.0,6.25,2.63,1.83,5.35
2021-04-22,300065,71.12,70.38,71.97,69.69,109744,133163620.0,3.2,-1.28,-0.91,3.33
2021-04-23,300065,70.43,68.1,70.95,67.36,107194,125403020.0,5.1,-3.24,-2.28,3.25
2021-04-26,300065,67.47,65.7,68.55,65.7,89469,102429802.0,4.19,-3.52,-2.4,2.71
2021-04-27,300065,64.79,60.57,64.96,59.55,129156,136375879.0,8.23,-7.81,-5.13,3.91
2021-04-28,300065,59.38,61.03,61.37,59.09,78326,80697787.0,3.76,0.76,0.46,2.37
2021-04-29,300065,60.63,59.66,60.91,59.6,43984,45347164.0,2.15,-2.24,-1.37,1.33
2021-04-30,300065,59.43,58.75,59.83,58.12,45606,45752598.0,2.87,-1.53,-0.91,1.38
2021-05-06,300065,59.38,59.72,61.14,58.58,36890,37876136.0,4.36,1.65,0.97,1.12
2021-05-07,300065,59.15,59.2,60.12,58.75,39233,39775981.0,2.29,-0.87,-0.52,1.19
2021-05-10,300065,58.81,59.55,60.23,58.52,39207,39790288.0,2.89,0.59,0.35,1.18
2021-05-11,300065,59.95,61.31,61.43,59.6,45706,47469504.0,3.07,2.96,1.76,1.38
2021-05-12,300065,60.52,61.09,61.66,60.4,31961,33413459.0,2.06,-0.36,-0.22,0.97
2021-05-13,300065,60.74,60.86,62.4,60.69,42174,44340366.0,2.8,-0.38,-0.23,1.27
2021-05-14,300065,61.2,61.71,61.88,60.23,41972,43915887.0,2.71,1.4,0.85,1.27
2021-05-17,300065,61.88,60.46,61.94,60.23,46046,47757852.0,2.77,-2.03,-1.25,1.39
2021-05-18,300065,60.34,60.8,61.83,59.89,32777,34198421.0,3.21,0.56,0.34,0.99
2021-05-19,300065,60.57,59.83,60.97,59.66,33757,34766890.0,2.15,-1.6,-0.97,1.02
2021-05-20,300065,59.77,60.8,61.2,59.55,35512,36767364.0,2.76,1.62,0.97,1.07
2021-05-21,300065,60.8,59.95,60.86,59.66,26231,26929515.0,1.97,-1.4,-0.85,0.79
2021-05-24,300065,59.66,60.0,60.34,59.55,28253,28977547.0,1.32,0.08,0.05,0.85
2021-05-25,300065,60.06,60.74,60.8,59.66,37807,39080732.0,1.9,1.23,0.74,1.14
2021-05-26,300065,60.57,61.43,62.74,60.57,54660,57760798.0,3.57,1.14,0.69,1.65
2021-05-27,300065,61.03,61.83,62.28,61.03,39546,41788038.0,2.03,0.65,0.4,1.2
2021-05-28,300065,61.83,61.77,63.02,61.43,59381,63268826.0,2.57,-0.1,-0.06,1.8
2021-05-31,300065,61.66,62.51,62.62,61.14,60378,64118833.0,2.4,1.2,0.74,1.83
2021-06-01,300065,62.51,62.28,62.97,62.0,43475,46341304.0,1.55,-0.37,-0.23,1.32
2021-06-02,300065,62.23,60.8,62.28,60.63,47036,49328481.0,2.65,-2.38,-1.48,1.42
2021-06-03,300065,60.91,60.29,61.48,60.23,37039,38503711.0,2.06,-0.84,-0.51,1.12
2021-06-04,300065,60.23,60.57,61.03,59.83,29285,30330510.0,1.99,0.46,0.28,0.89
2021-06-07,300065,60.52,61.54,61.83,60.52,40418,42381611.0,2.16,1.6,0.97,1.22
2021-06-08,300065,61.71,63.59,63.59,61.14,87471,93520948.0,3.98,3.33,2.05,2.65
2021-06-09,300065,64.79,62.74,65.3,62.51,84155,91420035.0,4.39,-1.34,-0.85,2.55
2021-06-10,300065,62.62,64.56,65.25,62.28,104216,114619165.0,4.73,2.9,1.82,3.15
