ts_code,name,coverage_count,recent_30d_count,latest_report_date,positive_pct,negative_pct,neutral_pct,recent_positive_pct,rating_trend,eps_y1_mean,eps_y1_std,eps_y1_year,pe_y1_mean,tp_mean,tp_count,tp_change,tp_change_pct,tp_raised_count,tp_cut_count
002157.SZ,正邦科技,5,0,2025-04-26,100.0,0.0,0.0,,数据不足,0.06,0.01,2024.0,56.2,,0,,,0,0
002153.SZ,石基信息,5,0,2025-05-12,100.0,0.0,0.0,,数据不足,0.03,0.01,2025.0,246.0,11.19,2,0.98,9.2,0,0
002142.SZ,宁波银行,5,5,2026-05-05,100.0,0.0,0.0,100.0,数据不足,4.91,0.05,2026.0,6.8,35.02,1,,,0,0
002129.SZ,TCL中环,5,2,2026-05-14,80.0,20.0,0.0,100.0,升级,0.52,0.1,2026.0,,6.5,2,6.6,206.2,0,0
002120.SZ,韵达股份,5,0,2025-05-13,60.0,0.0,40.0,,数据不足,0.68,0.01,2025.0,10.0,8.44,2,0.7,8.7,0,0
002081.SZ,金螳螂,5,0,2025-05-05,100.0,0.0,0.0,,数据不足,0.22,0.0,2025.0,15.6,4.31,1,,,0,0
002074.SZ,国轩高科,5,5,2026-05-11,100.0,0.0,0.0,100.0,数据不足,1.05,0.29,2026.0,37.2,49.56,2,-10.57,-19.3,0,0
002064.SZ,华峰化学,5,0,2025-05-13,100.0,0.0,0.0,,数据不足,0.46,0.04,2025.0,14.9,,0,,,0,0
002050.SZ,三花智控,5,5,2026-05-07,80.0,0.0,20.0,80.0,数据不足,1.13,0.03,2026.0,41.2,56.08,2,-6.85,-11.5,0,0
002049.SZ,紫光国微,5,3,2026-05-11,80.0,20.0,0.0,100.0,升级,2.22,0.19,2026.0,35.2,91.89,3,-28.55,-23.1,0,0
002415.SZ,海康威视,5,5,2026-05-04,60.0,0.0,40.0,60.0,数据不足,1.77,0.03,2026.0,19.4,42.29,1,,,0,0
002422.SZ,科伦药业,5,3,2026-05-11,80.0,0.0,20.0,66.7,降级,1.17,0.45,2026.0,25.2,43.14,4,-7.1,-16.5,0,0
002459.SZ,晶澳科技,5,5,2026-05-06,100.0,0.0,0.0,100.0,数据不足,0.13,0.04,2026.0,94.3,12.16,2,-0.32,-2.6,0,0
002603.SZ,以岭药业,5,0,2025-05-14,100.0,0.0,0.0,,数据不足,0.6,0.13,2024.0,27.6,20.65,2,-4.3,-18.9,0,1
002756.SZ,永兴材料,5,0,2025-04-30,100.0,0.0,0.0,,数据不足,1.79,0.17,2025.0,18.1,39.2,3,-10.2,-23.7,0,0
002739.SZ,万达电影,5,0,2025-05-07,100.0,0.0,0.0,,数据不足,0.54,0.05,2025.0,20.9,13.42,1,,,0,0
002736.SZ,国信证券,5,1,2026-04-30,100.0,0.0,0.0,100.0,数据不足,1.2,0.04,2026.0,10.2,14.47,1,,,0,0
600150.SH,中国船舶,5,5,2026-05-12,100.0,0.0,0.0,100.0,数据不足,2.46,0.15,2026.0,16.8,52.0,1,,,0,0
002714.SZ,牧原股份,5,5,2026-04-28,80.0,0.0,20.0,80.0,数据不足,0.89,0.35,2026.0,47.3,62.0,1,,,0,0
002709.SZ,天赐材料,5,5,2026-05-12,80.0,0.0,20.0,80.0,数据不足,3.52,0.57,2026.0,16.3,70.0,1,,,0,0
002673.SZ,西部证券,5,0,2025-04-30,100.0,0.0,0.0,,数据不足,0.32,0.04,2025.0,23.5,8.98,4,0.0,0.0,0,0
002648.SZ,卫星化学,5,2,2026-04-27,100.0,0.0,0.0,100.0,稳定,2.82,0.44,2026.0,10.0,34.32,1,,,0,0
002625.SZ,光启技术,5,2,2026-04-29,100.0,0.0,0.0,100.0,稳定,0.44,0.11,2025.0,102.2,54.4,1,,,0,0
002624.SZ,完美世界,5,0,2025-05-14,100.0,0.0,0.0,,数据不足,0.38,0.05,2025.0,35.2,14.98,3,0.85,5.9,0,0
002607.SZ,中公教育,5,0,2024-05-04,60.0,0.0,40.0,,数据不足,0.05,0.01,2023.0,66.1,5.17,1,,,0,0
002601.SZ,龙佰集团,5,5,2026-05-14,100.0,0.0,0.0,100.0,数据不足,0.68,0.06,2026.0,25.2,,0,,,0,0
002460.SZ,赣锋锂业,5,4,2026-05-06,100.0,0.0,0.0,100.0,数据不足,3.81,0.64,2026.0,22.8,101.05,2,11.9,12.5,0,0
002600.SZ,领益智造,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,0.42,0.03,2026.0,34.3,,0,,,0,0
002594.SZ,比亚迪,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,4.96,0.56,2026.0,20.3,127.73,3,0.0,0.0,0,0
002568.SZ,百润股份,5,0,2025-05-13,80.0,0.0,20.0,,数据不足,0.79,0.03,2025.0,33.1,31.12,2,-1.76,-5.5,0,0
002558.SZ,巨人网络,5,0,2025-05-04,80.0,0.0,20.0,,数据不足,0.84,0.02,2025.0,17.2,17.8,1,,,0,0
002555.SZ,三七互娱,5,5,2026-05-11,100.0,0.0,0.0,100.0,数据不足,1.46,0.08,2026.0,14.9,24.5,2,1.0,4.2,0,0
002508.SZ,老板电器,5,0,2025-05-13,100.0,0.0,0.0,,数据不足,1.77,0.02,2025.0,11.3,27.15,1,,,0,0
002493.SZ,荣盛石化,5,5,2026-05-11,100.0,0.0,0.0,100.0,数据不足,0.77,0.1,2026.0,17.6,17.71,1,,,0,0
002475.SZ,立讯精密,5,5,2026-05-11,80.0,0.0,20.0,80.0,数据不足,2.91,0.1,2026.0,23.5,88.67,3,4.0,4.7,0,0
002468.SZ,申通快递,5,0,2025-05-11,100.0,0.0,0.0,,数据不足,0.89,0.03,2025.0,12.0,11.94,1,,,0,0
002466.SZ,天齐锂业,5,5,2026-05-08,100.0,0.0,0.0,100.0,数据不足,4.46,0.33,2026.0,16.8,94.99,3,14.04,14.9,0,0
002463.SZ,沪电股份,5,5,2026-05-10,100.0,0.0,0.0,100.0,数据不足,2.76,0.76,2026.0,33.3,125.65,3,26.97,23.4,0,0
002044.SZ,美年健康,5,0,2025-05-13,80.0,0.0,20.0,,数据不足,0.16,0.0,2025.0,33.8,6.4,2,1.2,20.7,0,0
002032.SZ,苏泊尔,5,0,2025-05-06,100.0,0.0,0.0,,数据不足,3.0,0.03,2025.0,18.3,65.88,2,-5.77,-8.4,0,0
002028.SZ,思源电气,5,5,2026-05-11,80.0,0.0,20.0,80.0,数据不足,4.89,1.59,2026.0,36.9,223.9,1,,,0,0
000425.SZ,徐工机械,5,5,2026-05-14,100.0,0.0,0.0,100.0,数据不足,0.7,0.02,2026.0,14.3,12.33,1,,,0,0
000708.SZ,中信特钢,5,3,2026-04-28,100.0,0.0,0.0,100.0,稳定,1.29,0.04,2026.0,12.4,19.13,3,-1.65,-8.0,0,0
000703.SZ,恒逸石化,5,0,2025-04-29,80.0,0.0,20.0,,数据不足,0.12,0.04,2024.0,58.9,7.52,2,-2.03,-23.8,0,0
000661.SZ,长春高新,5,5,2026-05-06,100.0,0.0,0.0,100.0,数据不足,2.73,0.23,2026.0,31.4,105.9,2,-10.89,-9.8,0,0
000651.SZ,格力电器,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,5.41,0.04,2026.0,7.3,59.2,2,9.6,17.6,0,0
000630.SZ,铜陵有色,5,1,2026-04-22,80.0,0.0,20.0,0.0,数据不足,0.33,0.15,2025.0,20.0,6.44,2,0.72,11.8,0,0
000629.SZ,钒钛股份,5,0,2025-04-08,80.0,0.0,20.0,,数据不足,0.05,0.01,2025.0,58.0,3.12,1,,,0,0
000625.SZ,长安汽车,5,5,2026-05-10,100.0,0.0,0.0,100.0,数据不足,0.51,0.06,2026.0,19.0,11.52,2,-2.51,-19.7,0,0
000617.SZ,中油资本,5,1,2026-05-06,80.0,0.0,20.0,100.0,数据不足,0.38,0.0,2025.0,20.0,10.66,2,-0.64,-5.8,0,0
000596.SZ,古井贡酒,5,5,2026-05-14,80.0,0.0,20.0,80.0,数据不足,6.89,0.74,2026.0,15.4,115.5,1,,,0,0
000568.SZ,泸州老窖,5,5,2026-05-10,80.0,0.0,20.0,80.0,数据不足,6.66,0.33,2026.0,15.0,112.5,1,,,0,0
000538.SZ,云南白药,5,3,2026-05-07,80.0,0.0,20.0,100.0,升级,3.17,0.12,2026.0,17.2,72.3,2,-19.8,-24.1,0,0
000423.SZ,东阿阿胶,5,0,2025-05-09,100.0,0.0,0.0,,数据不足,2.91,0.04,2025.0,18.7,72.5,1,,,0,0
000725.SZ,京东方A,5,5,2026-05-07,80.0,0.0,20.0,80.0,数据不足,0.23,0.02,2026.0,18.0,4.83,3,-0.44,-8.9,0,0
000415.SZ,渤海租赁,5,0,2025-05-07,100.0,0.0,0.0,,数据不足,0.26,0.05,2025.0,12.9,4.8,1,,,0,0
000408.SZ,藏格矿业,5,1,2026-05-09,100.0,0.0,0.0,100.0,数据不足,5.06,0.44,2026.0,17.1,,0,,,0,0
000338.SZ,潍柴动力,5,5,2026-05-10,100.0,0.0,0.0,100.0,数据不足,1.48,0.4,2026.0,20.2,45.8,3,-1.4,-3.1,0,0
000333.SZ,美的集团,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,5.53,1.33,2026.0,13.0,99.0,1,,,0,0
000301.SZ,东方盛虹,5,5,2026-05-15,100.0,0.0,0.0,100.0,数据不足,0.57,0.13,2026.0,24.0,,0,,,0,0
000166.SZ,申万宏源,5,0,2026-04-06,0.0,0.0,100.0,,数据不足,0.31,0.11,2025.0,18.8,5.9,5,-1.1,-16.2,1,0
000157.SZ,中联重科,5,5,2026-05-14,100.0,0.0,0.0,100.0,数据不足,0.69,0.02,2026.0,11.7,10.29,2,0.42,4.2,0,0
000100.SZ,TCL科技,5,5,2026-05-14,100.0,0.0,0.0,100.0,数据不足,0.34,0.02,2026.0,12.7,5.8,1,,,0,0
000069.SZ,华侨城A,5,0,2025-04-15,40.0,0.0,60.0,,数据不足,0.17,0.14,2024.0,54.5,2.82,3,0.88,39.3,0,0
000066.SZ,中国长城,5,0,2025-04-30,100.0,0.0,0.0,,数据不足,0.09,0.16,2024.0,881.1,10.42,1,,,0,0
000063.SZ,中兴通讯,5,4,2026-05-05,80.0,0.0,20.0,75.0,数据不足,1.38,0.18,2026.0,26.9,42.74,2,-1.48,-3.4,0,0
000723.SZ,美锦能源,5,0,2025-04-29,80.0,0.0,20.0,,数据不足,0.15,0.06,2024.0,69.8,5.0,1,,,0,0
000728.SZ,国元证券,5,0,2025-04-21,100.0,0.0,0.0,,数据不足,0.52,0.05,2025.0,15.3,9.78,1,,,0,0
002027.SZ,分众传媒,5,5,2026-05-11,80.0,0.0,20.0,80.0,数据不足,0.42,0.01,2026.0,15.2,,0,,,0,0
000963.SZ,华东医药,5,5,2026-05-14,80.0,0.0,20.0,80.0,数据不足,2.19,0.02,2026.0,15.4,46.88,3,-0.6,-1.4,0,0
002010.SZ,传化智联,5,0,2025-04-22,80.0,0.0,20.0,,数据不足,0.14,0.09,2024.0,77.6,4.84,2,1.57,38.8,0,0
002008.SZ,大族激光,5,0,2025-04-25,40.0,0.0,60.0,,数据不足,1.47,0.28,2024.0,16.4,28.0,2,0.0,0.0,0,0
002007.SZ,华兰生物,5,2,2026-04-29,100.0,0.0,0.0,100.0,稳定,0.58,0.09,2026.0,26.1,20.02,2,-4.05,-18.4,0,0
002001.SZ,新和成,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,2.83,0.29,2026.0,12.2,45.22,1,,,0,0
001979.SZ,招商蛇口,5,5,2026-05-06,100.0,0.0,0.0,100.0,数据不足,0.17,0.05,2026.0,55.3,13.92,1,,,0,0
001965.SZ,招商公路,5,5,2026-05-09,100.0,0.0,0.0,100.0,数据不足,0.75,0.04,2026.0,12.6,11.35,2,0.7,6.4,0,0
001289.SZ,龙源电力,5,2,2026-05-05,80.0,0.0,20.0,50.0,降级,0.57,0.04,2026.0,28.0,18.9,1,,,0,0
000999.SZ,华润三九,5,5,2026-05-15,80.0,0.0,20.0,80.0,数据不足,2.16,0.12,2026.0,11.9,36.35,4,-3.7,-9.8,0,0
000983.SZ,山西焦煤,5,5,2026-05-11,80.0,0.0,20.0,80.0,数据不足,0.49,0.06,2026.0,14.4,8.3,2,0.47,5.8,0,0
000977.SZ,浪潮信息,5,5,2026-05-11,60.0,0.0,40.0,60.0,数据不足,2.24,0.67,2026.0,29.1,78.19,3,-0.65,-0.8,0,0
000975.SZ,山金国际,5,5,2026-05-12,100.0,0.0,0.0,100.0,数据不足,2.02,0.1,2026.0,13.5,36.7,1,,,0,0
000938.SZ,紫光股份,5,5,2026-05-05,80.0,0.0,20.0,80.0,数据不足,0.84,0.04,2026.0,38.3,34.44,2,-1.33,-3.8,0,0
000733.SZ,振华科技,5,0,2025-04-30,80.0,0.0,20.0,,数据不足,2.32,0.3,2025.0,23.5,71.65,3,16.82,27.4,0,0
000895.SZ,双汇发展,5,5,2026-05-06,80.0,0.0,20.0,80.0,数据不足,1.56,0.01,2026.0,18.0,32.33,3,-2.0,-6.2,0,0
000877.SZ,天山股份,5,0,2025-04-07,100.0,0.0,0.0,,数据不足,0.22,0.13,2025.0,70.5,8.74,2,0.37,4.3,0,0
